SystematicName	StandardName	Aliases	Timepoint1	Timepoint2	Timepoint3	Timepoint4	Timepoint5	Timepoint6	Timepoint7	Timepoint8	Timepoint9	Timepoint10	Timepoint11	Timepoint12	Timepoint13	Timepoint14	Timepoint15
YOR340C	RPA43	-	1291.650506	3978.040902	5850.724226	5526.489078	4890.014849	4931.122176	4765.951641	4555.797028	4327.939141	3926.269328	4332.346495	4309.557953	3979.347545	3793.328946	3666.116301
YCL044C	MGR1	-	2478.763951	1977.526306	1360.100631	1914.374728	1889.672188	1991.26191	2169.49431	2156.184904	2077.709114	2274.59003	2318.254493	2405.118536	2255.380688	2120.0994	2230.117295
YEL072W	RMD6	-	457.7065141	564.5059809	459.3984755	609.7851713	591.7073111	490.0989992	566.2456725	638.0024134	508.6843613	474.4226683	498.1555849	566.2281146	516.4983988	479.0095686	514.1157616
YFR022W	ROG3	ART7	1202.9741	971.3156545	911.4691414	786.1715812	689.0910102	774.5639352	787.4211796	684.8228837	662.3237633	694.2131703	743.2199597	722.1564291	678.5364433	631.6649965	597.8802382
YIR010W	DSN1	-	1062.888377	1099.930216	1307.187233	1218.129412	1562.170653	1802.229843	2001.81706	1550.735395	1257.250171	1175.502893	1416.986013	1505.444013	1429.559437	1331.532584	1347.342152
YBL008W	HIR1	-	1290.215764	1182.475116	1531.883204	1346.557071	1367.756426	1450.982823	1307.46236	1222.284752	1383.39572	1245.208694	1328.903776	1242.05524	1204.342621	1116.150278	1127.992797
YOL008W	COQ10	-	1237.229964	1188.084837	1286.977356	1084.225288	917.4413491	920.6323364	1031.703831	1098.75484	1035.24684	983.0334225	859.4607178	1008.904341	1064.216037	1035.74551	1024.241077
YMR178W	-	-	2663.935185	2380.999061	2054.874451	2088.262067	1881.417976	1804.838537	1801.027448	1952.204864	2230.249691	2338.652077	2226.178034	2239.612542	2298.332703	2297.26513	2393.123464
YHR017W	YSC83	-	2777.289448	1410.661674	1158.910991	1196.604723	1241.852765	1365.907131	1496.238293	1650.29052	1639.915702	1422.690183	1394.973231	1440.846591	1542.19137	1473.231692	1519.441001
YMR095C	SNO1	-	341.7659694	551.2600613	560.4914088	532.7076996	469.5961986	463.916819	453.6117996	467.8032555	384.4621248	470.6357145	472.4393152	468.4150666	444.8042768	482.880764	451.0675672
YKR101W	SIR1	-	978.6619539	861.850246	1038.162046	890.3237178	976.2527933	895.7153534	795.7074912	736.6479087	798.8440144	838.1614149	844.9769281	792.4142271	805.2235099	714.4632447	734.7523614
YHR198C	AIM18	FMP22	1782.372154	1382.190965	978.3718892	1243.003659	1208.855872	1351.324262	1353.330775	1376.030291	1267.725964	1272.881912	1255.849219	1233.652306	1203.941369	1359.891229	1320.642904
YOR076C	SKI7	YOR29-27	1619.017396	1281.261683	1161.740671	1082.653764	1044.788021	905.4687681	1054.132698	1169.045897	1238.394737	1093.139477	977.2645514	1022.26588	1083.389737	1104.228518	1160.443637
YNL219C	ALG9	-	4134.747393	4196.152773	4219.972441	4874.413763	5237.696726	5234.379824	4764.529651	4921.516132	4854.754058	4952.757019	5199.154723	5207.791327	5287.266163	5105.365303	5342.778213
YGL015C	-	-	180.0519571	174.0802403	186.5906395	187.4845503	199.775073	187.1401481	192.4727601	180.966434	191.4179999	183.8657945	173.1691142	174.1517186	184.0677558	179.8349736	166.9095968
YLR210W	CLB4	-	859.2276019	836.2359391	979.8675619	1116.974816	1416.867878	1844.587839	1704.543185	1212.084174	981.1863027	1055.60829	1339.497133	1296.107178	1228.758255	1115.971778	1199.699551
YIL034C	CAP2	-	6226.331022	7065.310751	4657.647935	4222.572184	3909.053096	3801.031948	4219.59156	4409.230239	4772.759296	4936.380086	4743.379326	4722.229205	4882.838366	5498.591278	5503.115068
