"","X0","X10","X20","X30","X40","X50","X60","X70","X80","X90","X100","X110","X120","X130","X140","X150"
"YAR002W",11.6471713531916,11.4936033475248,11.4259854678144,11.6347029629202,11.7613059437696,11.7452987947605,11.7758565098987,11.6724019512069,11.5570017192768,11.6188459305418,11.5686167432179,11.5777908796191,11.5518202725827,11.5701012366103,11.425528401483,11.3999257827988
"YAR002C-A",12.7293718284728,12.6338427497466,12.8834989449459,12.9452622009951,12.8783135325445,12.7277768127597,12.4729961656445,12.4029804615664,12.5585761641845,12.6813434759021,12.9265600559393,12.8399160882179,12.6255965996149,12.5554731219864,12.598302337238,12.7208417880124
"YAR003W",10.8973498829413,11.1763385842462,11.2464664993206,10.8223640597858,10.5706182250869,10.2599847403393,10.3606889411279,10.9106037663857,11.1169287324404,10.9602498118948,10.8886455356465,10.6908538784709,10.6507329927396,10.8961360945785,11.1382196014972,11.0866839757863
"YAR007C",11.6026217129033,12.6214558362102,13.1624940272879,12.7007057430487,11.6855351738059,10.6338297439246,10.6458628808302,12.1610931026935,12.7657182071765,12.5835014276634,11.9583142814391,11.2529439753455,11.0991913818657,11.8248480404149,12.3786167476806,12.4524655146168
"YAR008W",8.23085475952991,10.6037515863643,10.94838036526,10.2775448692497,9.50078662622152,8.76600165949445,9.02054458656866,10.3348695351093,10.6021937070164,10.2856034389498,9.73628738559605,9.17568810155037,8.97998051567438,9.62427349264685,10.0562694831218,10.0307385856147
"YAR014C",12.0387839430471,12.1294991815917,12.2514663805285,12.1600422820136,12.1123422900536,12.0651111280701,12.0476440665033,12.0629106341777,12.0819191210444,12.1089149495952,12.046010794644,12.0720784472616,12.0757707664785,12.1415367127479,12.2058477773592,12.1511513844736
"YAR015W",10.8937465866973,11.5581023237383,11.5030019647481,11.2615823275557,11.1637444972356,11.0984852667796,11.0131381794337,10.9212410004548,10.9327676769984,11.0253117627924,11.0297073443999,11.1432612812525,10.9988129219205,11.0176954048223,11.0026048740106,11.015201026626
"YAR018C",8.37803872457685,8.47629797820656,7.73281697212955,7.50381763100656,9.17518182780337,11.0467263937276,11.8857699472771,11.2317594060011,10.1514584536099,9.48916127846149,9.30406211590999,10.4023936903951,11.269705650866,11.2547938410396,10.7371586662871,10.23493465453
"YAR019C",10.2339976376536,10.0002759668662,10.1141950549511,10.083349622963,10.0130682059417,10.0985003077279,10.0526035968836,9.90931080303824,9.95825877539926,10.0114975754283,9.96406676786097,9.85393871555272,9.89944561293599,9.83682738628772,9.80433429479165,9.77855476241889
"YAR020C",6.16402912992963,6.04510392426638,5.79206203404029,5.79704521608538,5.77082345744781,5.80525525984352,5.6986025452792,5.77800121582805,5.6059590757832,5.78447361292178,5.76100700920478,5.92541659288675,5.77598111721158,5.79527052130237,5.83020276894473,6.02714437976675
"YAR023C",8.31989261872325,7.90498334002737,7.66507443360229,7.67434618250953,7.60924942041849,7.460771676066,7.38748409827826,7.63076865669992,7.52210379998248,7.68273564758525,7.50245856360058,7.48681307595967,7.38900489220786,7.53177354792974,7.67037445160106,7.6665128556171
"YAR027W",10.6708268270168,10.4814170757555,10.1130524295109,10.0370506723245,9.91447124948337,9.86652215130752,9.89779274590417,10.1342234292201,10.1381017401339,10.1015192589136,9.95851158585125,10.0948981938425,10.1018047697945,10.2668125211758,10.3230296140256,10.3421693272341
"YAR028W",8.53951488182769,8.59110274989756,8.89020335277249,9.25111397379001,9.28458896370196,9.15883483559688,9.09664534966963,9.06339434020849,9.18660760354268,9.30930148891731,9.35994928388291,9.15681214190221,8.96939087210114,8.94689250665978,8.97792210495548,8.89091268918951
"YAR029W",6.05337756959653,6.14970036987561,6.3050304673893,6.59627768316418,6.30360304969595,6.59461397744853,6.70208486054558,6.63447262528662,6.57697175518447,6.57520086802655,6.465374839044,6.43298085749964,6.45254069851387,6.47191345742039,6.24377455809479,6.42838422616212
"YAR031W",6.56608371934572,6.82824587924661,7.06829871737939,7.4776727820542,7.34223143447151,7.54395168736915,7.49673067438254,7.19911974118678,7.41823490203234,7.39582621041705,7.35559296885608,7.37188933114505,7.36731764437095,7.13990966094924,7.28033955520787,7.23075248294252
