orf_name,coverage_rep1,coverage_rep2
YDL244W,0.02,0.02
YDL243C,0.72,0.72
YDL241W,0.98,0.98
YDL240W,0.98,0.98
YDL239C,0.98,0.98
YDL238C,0.98,0.98
YDL237W,0.98,0.98
YDL236W,0.98,0.98
YDL235C,0.98,0.98
YDL234C,0.98,0.98
YDL233W,0.98,0.98
YDL232W,0.98,0.98
YDL231C,0.98,0.98
YDL230W,0.98,0.98
YDL229W,0.98,0.98
YDL227C,0.98,0.98
YDL226C,0.98,0.98
YDL225W,0.98,0.98
YDL224C,0.98,0.98
YDL223C,0.98,0.98
YDL222C,0.98,0.98
YDL220C,0.98,0.98
YDL219W,0.98,0.98
YDL218W,0.98,0.98
YDL217C,0.98,0.98
YDL216C,0.98,0.98
YDL215C,0.98,0.98
YDL214C,0.98,0.98
YDL213C,0.98,0.98
YDL212W,0.98,0.98
YDL211C,0.98,0.98
YDL210W,0.98,0.98
YDL209C,0.98,0.98
YDL208W,0.98,0.98
YDL207W,0.98,0.98
YDL206W,0.98,0.98
YDL205C,0.98,0.98
YDL204W,0.98,0.98
YDL203C,0.98,0.98
YDL202W,0.98,0.98
YDL201W,0.98,0.98
YDL200C,0.98,0.98
YDL199C,0.98,0.98
YDL198C,0.98,0.98
YDL197C,0.98,0.98
YDL195W,0.98,0.98
YDL194W,0.98,0.98
YDL193W,0.98,0.98
YDL192W,0.98,0.98
YDL191W,0.98,0.98
YDL190C,0.98,0.98
YDL189W,0.98,0.98
YDL188C,0.98,0.98
YDL186W,0.98,0.98
YDL185W,0.98,0.98
YDL184C,0.98,0.98
YDL183C,0.98,0.98
YDL182W,0.98,0.98
YDL181W,0.98,0.98
YDL180W,0.98,0.98
YDL179W,0.98,0.98
YDL178W,0.98,0.98
YDL177C,0.98,0.98
YDL176W,0.98,0.98
YDL175C,0.98,0.98
YDL174C,0.98,0.98
YDL173W,0.98,0.98
YDL171C,0.98,0.98
YDL170W,0.98,0.98
YDL169C,0.98,0.98
YDL168W,0.98,0.98
YDL167C,0.98,0.98
YDL166C,0.98,0.98
YDL165W,0.98,0.98
YDL164C,0.98,0.98
YDL161W,0.98,0.98
YDL160C-A,0.98,0.98
YDL160C,0.98,0.98
YDL159W-A,0.98,0.98
YDL159W,0.98,0.98
YDL157C,0.98,0.98
YDL156W,0.98,0.98
YDL155W,0.98,0.98
YDL154W,0.98,0.98
YDL153C,0.98,0.98
YDL150W,0.98,0.98
YDL149W,0.98,0.98
YDL148C,0.98,0.98
YDL147W,0.98,0.98
YDL146W,0.98,0.98
YDL145C,0.98,0.98
YDL144C,0.98,0.98
YDL143W,0.98,0.98
YDL142C,0.98,0.98
YDL141W,0.98,0.98
YDL140C,0.98,0.98
YDL139C,0.98,0.98
YDL138W,0.98,0.98
YDL137W,0.98,0.98
YDL136W,0.98,0.98
YDL135C,0.98,0.98
YDL134C,0.98,0.98
YDL133C-A,0.98,0.98
YDL133W,0.98,0.98
YDL132W,0.98,0.98
YDL131W,0.98,0.96
YDL130W-A,0.98,0.98
YDL130W,0.98,0.98
YDL129W,0.98,0.98
YDL128W,0.98,0.98
YDL127W,0.98,0.98
YDL126C,0.98,0.98
YDL125C,0.98,0.98
YDL124W,0.98,0.98
YDL123W,0.98,0.98
YDL122W,0.98,0.98
YDL121C,0.98,0.98
YDL120W,0.98,0.98
YDL119C,0.98,0.98
YDL118W,0.98,0.98
YDL117W,0.98,0.98
YDL116W,0.98,0.98
YDL115C,0.98,0.98
YDL114W,0.98,0.98
YDL113C,0.98,0.98
YDL112W,0.98,0.98
YDL111C,0.98,0.98
YDL110C,0.98,0.98
YDL109C,0.98,0.98
YDL108W,0.98,0.98
YDL107W,0.98,0.98
YDL106C,0.98,0.98
YDL105W,0.98,0.98
YDL104C,0.98,0.98
YDL103C,0.98,0.98
YDL102W,0.98,0.98
YDL101C,0.98,0.98
YDL100C,0.98,0.98
YDL099W,0.98,0.98
YDL098C,0.98,0.98
YDL097C,0.98,0.98
YDL095W,0.98,0.98
YDL093W,0.98,0.98
YDL092W,0.98,0.98
