name,total_reads,coverage,small_reads,nucleosomal_reads,small_proportion,peak_position,peak_height,small_fragment_peak_position,small_fragment_peak_height,small_fragment_std
oridb_170,10790,5.395,1410.6427424060566,9379.357257593943,0.1307361207049172,510,52.0,970,16.965429179173444,1.8063846740002727
oridb_171,14305,7.1525,1917.2737074060133,12387.726292593987,0.1340282214195046,161,49.0,296,8.35647032914267,1.6283436262804336
oridb_172,9714,4.857,1077.0516903435796,8636.94830965642,0.11087622918916817,-36,58.0,92,18.59875750254891,1.7851561900795458
oridb_173,7170,3.585,766.1521678527668,6403.847832147233,0.10685525353595074,-423,34.0,-326,3.5987397056289314,0.7465325465114203
oridb_174,6879,3.4395,1048.0492057131175,5830.950794286882,0.15235487799289396,-998,69.0,114,24.890144855454192,2.228603131490188
oridb_175,11436,5.718,1464.5582928513104,9971.44170714869,0.1280656079793031,-480,48.0,-799,6.767190417242429,1.4303121679691204
oridb_176,6840,3.42,641.4367477811393,6198.563252218861,0.0937773023071841,152,51.0,40,1.9091624841793524,0.6005248272006014
oridb_177,14841,7.4205,2327.9237078539736,12513.076292146026,0.15685760446425265,900,63.0,-860,8.523251916925538,1.776655378150312
oridb_178,8396,4.198,1170.5890304951047,7225.410969504896,0.1394222285010844,995,53.0,855,6.447885339131602,1.2760210456794885
oridb_179,7648,3.824,738.5115290613326,6909.488470938668,0.09656269992956754,-969,43.0,90,2.8187258244903663,0.6655893120173688
oridb_180,8335,4.1675,955.6131417003264,7379.386858299674,0.11465064687466424,176,57.0,140,4.835069277046683,1.003007559114827
oridb_181,7648,3.824,1068.9706110673558,6579.029388932644,0.13977126190734254,-173,65.0,334,18.414196209973497,1.8750441268050433
oridb_182,7776,3.888,677.1136130653152,7098.886386934685,0.08707736793535432,-106,58.0,69,2.439259252690122,0.6528272664972196
oridb_183,6759,3.3795,575.8982897661267,6183.101710233874,0.08520465893861913,313,31.0,286,1.826455113894046,0.5316572940424392
oridb_184,7822,3.911,966.0417185659137,6855.9582814340865,0.12350316013371436,-105,50.0,-105,16.388974765520697,1.7307447526363144
oridb_185,17338,8.669,2743.4760188991872,14594.523981100812,0.15823486093547048,698,128.0,-987,10.215898434848043,2.1497963181312203
oridb_186,11498,5.749,1648.6867525373095,9849.313247462691,0.14338900265588012,-771,86.0,-451,9.110348509200612,1.5972981412941458
oridb_187,8273,4.1365,1225.6246448733095,7047.375355126691,0.1481475456150501,-63,30.0,-929,5.980379667199737,1.095257835213764
oridb_189,8178,4.089,834.2807731793439,7343.719226820656,0.10201525717526827,147,70.0,17,3.3672986559346905,0.721824352360237
oridb_190,9764,4.882,1098.1820607181885,8665.817939281811,0.11247255845126879,207,48.0,-56,5.076283527987714,1.0973132694709842
oridb_191,11382,5.691,1464.4032610304234,9917.596738969576,0.1286595731005468,-240,196.0,177,10.543157118869505,1.5996116899232624
oridb_193,11488,5.744,1123.6720691673713,10364.32793083263,0.09781268011554416,-309,131.0,57,11.832903310658377,1.4635969953162198
oridb_194,10009,5.0045,1600.8216337485765,8408.178366251424,0.15993821897777766,90,71.0,312,17.778811730981996,2.0700694980319208
oridb_195,7686,3.843,844.9823521969469,6841.0176478030535,0.10993785482656088,-101,29.0,40,5.085200037021663,0.8316849739326303
oridb_196,11661,5.8305,2047.130006701527,9613.869993298473,0.17555355515835067,-136,60.0,559,9.942921379760785,1.7484752124389131
oridb_197,7240,3.62,788.7600212731028,6451.239978726897,0.10894475431948933,163,46.0,26,4.538431854304434,0.7400003626366783
oridb_199,8999,4.4995,1044.758582623264,7954.241417376736,0.1160971866455455,-511,74.0,-372,9.663561574072293,1.1364867716143359
oridb_200,9587,4.7935,1210.5198738638849,8376.480126136115,0.12626680649461614,249,64.0,261,6.185231383269079,1.2606328048724682
oridb_201,10715,5.3575,1411.8706951984789,9303.129304801521,0.13176581383093597,148,41.0,47,9.161905684701605,1.452076120159984
oridb_202,12213,6.1065,1825.2718511897415,10387.728148810258,0.14945319341601093,775,78.0,-572,13.97682825381252,2.0641114091831296
oridb_203,9597,4.7985,965.1864410887334,8631.813558911266,0.10057168293099233,80,78.0,401,7.230534233996834,1.177730669205292
oridb_204,6987,3.4935,934.3102196960336,6052.6897803039665,0.133721227951343,517,47.0,384,4.2463201546234455,0.9048043229364031
oridb_205,8160,4.08,1164.3786392983998,6995.6213607016,0.1426934606983333,847,73.0,702,20.514692183635937,1.9727451202907933
oridb_206,9712,4.856,1345.3976593759985,8366.602340624002,0.13852941303294877,78,110.0,-120,6.944930680912257,1.4074333975283557
oridb_207,5937,2.9685,608.2939648863053,5328.706035113695,0.10245813792930862,-509,39.0,646,1.8704056175547366,0.5873200816979361
oridb_208,2725,1.3625,317.49836728362095,2407.501632716379,0.11651316230591595,-114,69.0,15,3.301111165388096,0.6174053509076551
oridb_209,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
oridb_210,109,0.0545,3.602943299764202,105.3970567002358,0.033054525685910115,400,13.0,349,0.12784016600872639,0.034450380141964825
oridb_213,10080,5.04,1021.8253514040482,9058.174648595952,0.1013715626392905,-938,50.0,367,4.382023676790962,0.8829392362033445
oridb_214,11366,5.683,1064.505800479746,10301.494199520253,0.09365702978002341,87,68.0,-41,4.253282736037247,0.9193529077464297
oridb_215,9399,4.6995,1064.8283385748389,8334.171661425162,0.11329166279123724,907,85.0,574,5.6240759102774645,1.1358763259458888
oridb_216,10611,5.3055,1121.0811725461863,9489.918827453814,0.10565273513770486,890,59.0,-96,8.222909847166678,1.1974926154316092
oridb_218,10873,5.4365,1341.717833837657,9531.282166162342,0.12339904661433432,50,74.0,41,15.477056594826,2.1260299630762916
oridb_219,8778,4.389,930.1564176972718,7847.8435823027285,0.10596450418059601,934,55.0,527,4.8600757504526415,0.849494817192658
oridb_220,11908,5.954,1207.1643069317024,10700.835693068297,0.10137422799224911,-196,65.0,-28,10.821549020686444,1.30528689246834
oridb_221,9785,4.8925,1094.6117643151144,8690.388235684886,0.11186630192285278,33,31.0,-70,7.195459809708394,1.0636677402763983
oridb_222,15159,7.5795,1419.9550553432284,13739.04494465677,0.09367076029706632,283,140.0,962,5.310465876660753,1.165203429647326
oridb_223,7767,3.8835,943.0175681886799,6823.982431811321,0.12141336013759237,149,91.0,149,22.250736162577446,2.3742419240352612
oridb_224,9139,4.5695,1425.523071240857,7713.4769287591425,0.15598239098816688,196,62.0,58,7.317938046728843,1.289283212457283
oridb_225,10451,5.2255,1578.805424842635,8872.194575157366,0.15106740262583818,-877,40.0,-316,8.016077761763375,1.5284352399639645
