orf_name,replication_time,replication_H_index
YDL173W,9.3734,165.0
YDL171C,8.363,163.0
YDL170W,8.363,163.0
YDL169C,8.363,163.0
YDL168W,9.3734,165.0
YDL167C,10.3838,167.0
YDL166C,10.3838,167.0
YDL165W,10.3838,167.0
YDL164C,11.8995,170.0
YDL161W,11.8995,170.0
YDL160C-A,12.4047,171.0
YDL160C,12.4047,171.0
YDL159W-A,12.4047,171.0
YDL159W,12.4047,171.0
YDL157C,12.4047,171.0
YDL156W,12.4047,171.0
YDL155W,12.4047,171.0
YDL154W,11.8995,170.0
YDL153C,10.8891,168.0
YDL150W,10.8891,168.0
YDL149W,10.8891,168.0
YDL148C,9.8786,166.0
YDL147W,9.8786,166.0
YDL146W,9.3734,165.0
YDL145C,6.8474,160.0
YDL144C,5.8369,158.0
YDL143W,5.8369,158.0
YDL142C,5.3317,157.0
YDL141W,5.3317,157.0
YDL140C,3.3109,153.0
YDL139C,3.3109,153.0
YDL138W,3.8161,154.0
YDL137W,4.8265,156.0
YDL136W,5.8369,158.0
YDL135C,6.3421,159.0
YDL134C,6.3421,159.0
YDL133C-A,6.3421,159.0
YDL133W,6.3421,159.0
YDL132W,7.3526,161.0
YDL131W,6.3421,159.0
YDL130W-A,7.8578,162.0
YDL130W,7.8578,162.0
YDL129W,7.8578,162.0
YDL128W,7.8578,162.0
YDL127W,6.8474,160.0
YDL126C,7.3526,161.0
YDL125C,7.3526,161.0
YDL124W,7.3526,161.0
YDL123W,7.3526,161.0
YDL122W,7.3526,161.0
YDL121C,7.3526,161.0
YDL120W,7.3526,161.0
YDL119C,7.3526,161.0
YDL118W,7.3526,161.0
YDL117W,7.3526,161.0
YDL116W,7.3526,161.0
YDL115C,7.3526,161.0
YDL114W,7.3526,161.0
YDL113C,8.363,163.0
YDL112W,8.363,163.0
YDL111C,9.3734,165.0
YDL110C,10.3838,167.0
YDL109C,10.8891,168.0
YDL108W,10.8891,168.0
YDL107W,10.8891,168.0
YDL106C,11.3943,169.0
YDL105W,11.3943,169.0
YDL104C,11.8995,170.0
YDL103C,12.4047,171.0
YDL102W,12.4047,171.0
YDL101C,12.9099,172.0
YDL100C,12.4047,171.0
YDL099W,12.4047,171.0
YDL098C,11.8995,170.0
YDL097C,11.8995,170.0
YDL095W,11.8995,170.0
YDL093W,10.8891,168.0
YDL092W,10.8891,168.0
YDL091C,10.3838,167.0
YDL090C,9.8786,166.0
YDL089W,9.8786,166.0
YDL088C,8.8682,164.0
YDL087C,7.8578,162.0
YDL086W,7.8578,162.0
YDL085C-A,7.8578,162.0
YDL085W,6.8474,160.0
YDL084W,6.3421,159.0
YDL083C,5.8369,158.0
YDL082W,5.8369,158.0
YDL081C,5.3317,157.0
YDL080C,4.8265,156.0
YDL079C,4.3213,155.0
YDL078C,4.3213,155.0
YDL077C,4.3213,155.0
YDL076C,3.8161,154.0
YDL075W,3.8161,154.0
YDL074C,2.8056,152.0
YDL073W,2.8056,152.0
YDL072C,2.3004,151.0
YDL070W,2.3004,151.0
YDL069C,2.8056,152.0
YDL067C,2.8056,152.0
YDL066W,2.8056,152.0
YDL065C,3.3109,153.0
YDL064W,3.3109,153.0
YDL063C,3.8161,154.0
YDL061C,4.3213,155.0
YDL060W,4.3213,155.0
YDL059C,5.8369,158.0
YDL058W,5.8369,158.0
YDL057W,7.3526,161.0
YDL056W,7.3526,161.0
YDL055C,7.8578,162.0
YDL054C,9.8786,166.0
YDL053C,9.8786,166.0
YDL052C,10.8891,168.0
YDL051W,10.8891,168.0
YDL049C,10.8891,168.0
YDL048C,11.3943,169.0
YDL047W,11.3943,169.0
YDL046W,10.8891,168.0
YDL045W-A,10.8891,168.0
YDL045C,10.3838,167.0
YDL044C,10.3838,167.0
YDL043C,10.3838,167.0
YDL042C,9.3734,165.0
YDL040C,8.363,163.0
YDL037C,6.8474,160.0
YDL036C,5.8369,158.0
YDL035C,5.3317,157.0
YDL033C,4.8265,156.0
YDL031W,4.8265,156.0
YDL030W,4.3213,155.0
YDL029W,4.3213,155.0
YDL028C,3.3109,153.0
YDL027C,2.3004,151.0
YDL025C,2.3004,151.0
YDL024C,2.3004,151.0
YDL022W,3.3109,153.0
YDL021W,3.3109,153.0
YDL020C,4.3213,155.0
YDL019C,4.3213,155.0
YDL018C,3.8161,154.0
YDL017W,3.8161,154.0
YDL015C,2.8056,152.0
YDL014W,2.3004,151.0
YDL013W,2.3004,151.0
YDL012C,2.3004,151.0
YDL010W,2.3004,151.0
YDL008W,2.3004,151.0
YDL007C-A,2.3004,151.0
YDL007W,2.8056,152.0
YDL006W,2.8056,152.0
YDL005C,2.8056,152.0
YDL004W,2.8056,152.0
YDL003W,3.3109,153.0
YDL002C,3.8161,154.0
YDL001W,3.8161,154.0
YDR001C,3.8161,154.0
YDR002W,3.8161,154.0
YDR003W,3.3109,153.0
YDR003W-A,3.3109,153.0
YDR004W,2.8056,152.0
YDR005C,2.3004,151.0
YDR006C,2.8056,152.0
YDR007W,2.8056,152.0
YDR009W,2.8056,152.0
YDR011W,2.8056,152.0
YDR013W,4.8265,156.0
YDR014W,4.8265,156.0
YDR014W-A,3.8161,154.0
YDR016C,3.8161,154.0
YDR017C,2.8056,152.0
YDR018C,2.8056,152.0
YDR019C,2.8056,152.0
YDR020C,2.8056,152.0
YDR021W,2.8056,152.0
YDR022C,2.8056,152.0
YDR023W,3.3109,153.0
YDR025W,3.8161,154.0
YDR026C,3.8161,154.0
YDR027C,3.8161,154.0
YDR028C,3.3109,153.0
YDR030C,3.8161,154.0
YDR031W,3.8161,154.0
YDR032C,3.8161,154.0
YDR033W,3.8161,154.0
YDR034C,4.3213,155.0
YDR034C-A,5.8369,158.0
YDR034W-B,6.3421,159.0
YDR035W,6.3421,159.0
YDR036C,6.3421,159.0
YDR037W,5.8369,158.0
YDR040C,3.3109,153.0
YDR041W,3.3109,153.0
YDR042C,2.8056,152.0
YDR043C,2.8056,152.0
YDR044W,2.3004,151.0
YDR045C,2.3004,151.0
YDR046C,1.29,149.0
YDR047W,2.3004,151.0
YDR049W,2.3004,151.0
YDR050C,1.7952,150.0
YDR051C,2.3004,151.0
YDR052C,1.7952,150.0
YDR054C,2.3004,151.0
YDR055W,2.8056,152.0
YDR056C,2.3004,151.0
YDR057W,2.3004,151.0
YDR058C,2.8056,152.0
YDR059C,2.8056,152.0
YDR060W,2.8056,152.0
YDR061W,3.8161,154.0
YDR062W,4.3213,155.0
YDR063W,4.8265,156.0
YDR064W,6.3421,159.0
YDR065W,6.3421,159.0
YDR066C,7.3526,161.0
YDR067C,8.363,163.0
YDR068W,8.363,163.0
YDR069C,8.8682,164.0
YDR070C,8.8682,164.0
YDR071C,9.3734,165.0
YDR072C,9.8786,166.0
YDR073W,9.8786,166.0
YDR074W,10.3838,167.0
YDR075W,11.8995,170.0
YDR076W,13.4151,173.0
YDR077W,13.4151,173.0
YDR078C,13.4151,173.0
YDR079W,12.9099,172.0
