orf_name,replication_time,replication_H_index
YDL160C-A,14.2275,122.0
YDL160C,14.2275,122.0
YDL159W-A,14.2275,122.0
YDL159W,14.2275,122.0
YDL157C,14.2275,122.0
YDL156W,14.2275,122.0
YDL155W,14.2275,122.0
YDL154W,14.2275,122.0
YDL153C,13.0652,120.0
YDL150W,13.0652,120.0
YDL149W,13.0652,120.0
YDL148C,11.9028,118.0
YDL147W,11.9028,118.0
YDL146W,10.7405,116.0
YDL145C,8.997,113.0
YDL144C,7.8347,111.0
YDL143W,7.8347,111.0
YDL142C,7.2535,110.0
YDL141W,7.2535,110.0
YDL140C,7.8347,111.0
YDL139C,7.8347,111.0
YDL138W,7.2535,110.0
YDL137W,7.8347,111.0
YDL136W,8.4159,112.0
YDL135C,8.997,113.0
YDL134C,9.5782,114.0
YDL133C-A,9.5782,114.0
YDL133W,9.5782,114.0
YDL132W,9.5782,114.0
YDL131W,8.997,113.0
YDL130W-A,10.7405,116.0
YDL130W,10.7405,116.0
YDL129W,10.7405,116.0
YDL128W,10.7405,116.0
YDL127W,10.1593,115.0
YDL126C,10.7405,116.0
YDL125C,9.5782,114.0
YDL124W,9.5782,114.0
YDL123W,9.5782,114.0
YDL122W,9.5782,114.0
YDL121C,9.5782,114.0
YDL120W,9.5782,114.0
YDL119C,8.997,113.0
YDL118W,8.997,113.0
YDL117W,8.997,113.0
YDL116W,9.5782,114.0
YDL115C,9.5782,114.0
YDL114W,9.5782,114.0
YDL113C,10.1593,115.0
YDL112W,10.1593,115.0
YDL111C,11.3217,117.0
YDL110C,12.484,119.0
YDL109C,13.0652,120.0
YDL108W,13.0652,120.0
YDL107W,13.0652,120.0
YDL106C,13.6463,121.0
YDL105W,13.6463,121.0
YDL104C,14.2275,122.0
YDL103C,14.8086,123.0
YDL102W,14.8086,123.0
YDL101C,14.8086,123.0
YDL100C,14.2275,122.0
YDL099W,14.2275,122.0
YDL098C,13.6463,121.0
YDL097C,13.6463,121.0
YDL095W,13.6463,121.0
YDL093W,13.0652,120.0
YDL092W,13.0652,120.0
YDL091C,12.484,119.0
YDL090C,11.9028,118.0
YDL089W,11.9028,118.0
YDL088C,10.7405,116.0
YDL087C,10.1593,115.0
YDL086W,10.1593,115.0
YDL085C-A,10.1593,115.0
YDL085W,8.997,113.0
YDL084W,9.5782,114.0
YDL083C,8.4159,112.0
YDL082W,8.4159,112.0
YDL081C,8.4159,112.0
YDL080C,8.4159,112.0
YDL079C,7.8347,111.0
YDL078C,7.8347,111.0
YDL077C,7.8347,111.0
YDL076C,7.8347,111.0
YDL075W,7.8347,111.0
YDL074C,6.6724,109.0
YDL073W,6.6724,109.0
YDL072C,6.6724,109.0
YDL070W,6.6724,109.0
YDL069C,7.2535,110.0
YDL067C,7.2535,110.0
YDL066W,7.2535,110.0
YDL065C,7.2535,110.0
YDL064W,7.2535,110.0
YDL063C,7.2535,110.0
YDL061C,7.8347,111.0
YDL060W,7.8347,111.0
YDL059C,8.4159,112.0
YDL058W,8.4159,112.0
YDL057W,9.5782,114.0
YDL056W,9.5782,114.0
YDL055C,10.1593,115.0
YDL054C,11.9028,118.0
YDL053C,11.9028,118.0
YDL052C,13.0652,120.0
YDL051W,13.0652,120.0
YDL049C,13.0652,120.0
YDL048C,13.0652,120.0
YDL047W,13.6463,121.0
YDL046W,13.0652,120.0
YDL045W-A,13.0652,120.0
YDL045C,12.484,119.0
YDL044C,11.9028,118.0
YDL043C,11.9028,118.0
YDL042C,11.3217,117.0
YDL040C,10.1593,115.0
YDL037C,8.4159,112.0
YDL036C,8.4159,112.0
YDL035C,8.4159,112.0
YDL033C,8.4159,112.0
YDL031W,8.4159,112.0
YDL030W,7.8347,111.0
YDL029W,7.8347,111.0
YDL028C,7.2535,110.0
YDL027C,6.6724,109.0
YDL025C,6.0912,108.0
YDL024C,6.0912,108.0
YDL022W,6.6724,109.0
YDL021W,6.6724,109.0
YDL020C,7.8347,111.0
YDL019C,7.2535,110.0
YDL018C,7.8347,111.0
YDL017W,7.8347,111.0
YDL015C,6.6724,109.0
YDL014W,6.6724,109.0
YDL013W,6.6724,109.0
YDL012C,6.6724,109.0
YDL010W,6.6724,109.0
YDL008W,7.2535,110.0
YDL007C-A,6.6724,109.0
YDL007W,6.0912,108.0
YDL006W,6.0912,108.0
YDL005C,6.6724,109.0
YDL004W,6.6724,109.0
YDL003W,6.6724,109.0
