"","X0","X20","X30","X40","X50","X60","X70","X80","X90","X100","X110","X120","X130","X140","X150"
"YIL134W",510.361471617048,496.209184214067,448.571490393439,469.087049237217,463.406005168591,503.964796092386,511.621528362038,514.130160273901,528.266060621569,524.304016411625,555.889145801379,562.11727773827,575.195256714323,533.367047523173,561.587643237599
"YIL133C",21671.460266998,21948.1157059738,29032.0134574496,36355.3222036119,42812.372455432,47853.0657872574,47551.4735150246,46002.656450309,44036.4789242726,40752.0292393116,39641.7515649968,41488.1569957585,39415.320627908,34986.4707579306,31525.6842121629
"YIL132C",62.6137916567211,262.903813390611,219.513708064874,163.534934596461,134.009242112771,98.6484281712755,165.10928303828,216.914956058766,195.898664147165,150.344890368488,128.912630326593,112.179586880522,119.066293627318,152.787435488409,189.783842568774
"YIL131C",491.45919489049,1562.62365906009,3038.19697394138,3817.24965755423,3355.34590938847,2222.8064304245,1304.58058505904,1310.8754796436,2270.44350637978,3130.5992994451,2921.02607445229,2152.14098743611,1511.96683157631,1276.9325669001,1659.74596864691
"YIL130W",2282.4499147318,2549.81877291755,3084.85689256386,3521.38053246195,3632.57113543855,3637.12465605398,3419.50015134543,3202.6241829638,3209.21631827603,3102.05280127386,3049.93870477888,3014.21672574621,3006.42391408978,2639.0557038907,2715.63425639318
"YIL129C",8461.13161972522,5844.82186458465,6183.49967017528,7757.15051605581,8464.06465069519,9078.87218832815,8807.27675575246,7831.88134616024,7379.21653430754,8469.7460074045,9212.40953021776,9694.99886181559,10188.9229796671,9278.3642642052,8868.08137094089
"YIL128W",3546.53967082032,4801.91203530666,5010.63898843735,5400.95639259364,5317.40488932966,5168.31982375596,4941.32979303379,4674.10015892013,4798.41671731258,5163.1099692368,5020.8861453213,5083.44236635759,4749.51943329559,4554.9175464696,4497.01441505008
"YIL127C",667.486646906555,2599.43969133896,2796.41375926123,3001.72676002714,3290.89871661668,2928.35714495384,2814.46152863278,2421.52176907911,2482.85048492137,2415.03374528622,2440.39805965083,2141.16689741519,1860.41083792685,1468.61134960374,1451.84639565112
"YIL126W",6163.3236051531,8281.47012180425,9707.38397886889,10513.5748741883,10546.8342456692,10392.3974547392,9525.28488791235,8977.98488802843,9570.42013159409,10432.7935316462,10575.3066450579,10140.0591793307,9505.16727876318,8591.28379673611,8925.87917754138
"YIL125W",12101.0012818829,8963.10484327726,8088.07271212945,7336.47841456097,7425.74876714967,7528.37624120136,8084.92364245998,8431.52605641885,8384.02260378148,8217.58527355861,7938.18642120924,8234.22554569748,8873.94082504776,9423.74382403356,9651.37104845201
"YIL124W",4443.21642303638,2432.29554507738,1685.0593338893,1525.60879774856,1368.73561791517,1415.39049115308,1550.07201905017,1700.90525640311,1833.52345207403,1689.00114179789,1698.21898563183,1794.87339008836,2039.88576582096,2308.47925256123,2537.06491361256
"YIL123W",1984.73905628852,3707.64020275037,4484.65445123842,4542.39798596222,4927.6528187574,3876.23986781697,2476.6392455742,2789.65147815961,2940.6810707934,2962.17496023483,3064.84189903629,2270.41729099492,1994.36041825758,2103.83668745252,2198.04195847835
"YIL122W",529.263748343605,368.239447232545,380.702517851642,433.582754226143,549.335595530978,731.28508709576,477.947924584495,338.929618841821,271.836910361516,279.755682078072,368.108898158018,563.336621073928,471.01224979042,364.83787625717,320.9072247072
"YIL121W",167.757705948196,105.335633841934,156.946999002905,213.025770066442,205.617234081428,206.947246054958,174.885490586599,182.50056399175,139.770395206123,180.794488417802,190.015726781973,223.139830425387,203.113089128954,201.864611736201,243.268380019974
"YIL120W",246.910989740655,242.010795107914,250.266836247876,243.150626439475,209.709119336779,251.982398046193,221.594037761902,231.515001178106,254.22804167413,221.711135796568,219.822115296792,206.069023726177,256.517823770619,265.757539304081,267.422687256
"YIL119C",862.416375649178,168.014688690026,278.899059038947,416.36855058441,528.876169254219,675.527279868517,709.318169894716,598.60184989294,501.85275759049,537.6257155582,684.056616415102,1003.51956524641,1217.80304732058,1159.3325407969,1064.51482604485
"YIL118W",1443.66138499082,1956.97937914601,2619.31815903497,2925.33873136696,2586.07148138233,2468.35523532909,2231.14781158307,2292.20708373638,2705.16245209962,2856.55291700127,2987.34528889776,2737.42578855188,2591.44286130045,2427.93124757944,2518.08652935569
"YIL117C",20395.5565879554,4261.30518724186,4444.35724879173,4412.21557092162,3655.07650434299,3150.31610833921,2992.60575506882,3495.66794571626,3304.96454176369,2806.12077023209,2517.89466978936,2709.38089183175,3446.79410302023,4232.67495525768,3858.65058095512
"YIL116W",4989.01966351572,2790.95902559702,2513.27288943842,2283.0337579848,2217.80180840067,2013.71465332234,2003.03630212229,2078.42070877462,2164.79029425547,2565.3786356547,2924.00671330377,3275.15619957699,3721.69716330683,3761.34886638738,3693.02104562237
"YIL115C",6377.15561062228,7526.7098363418,7463.46607420573,7576.40137781761,8470.20247857821,9456.30965263564,9224.39494448075,8372.08301557582,7903.08037775726,7390.68837653193,7772.76096495199,8058.64010536275,8388.92077600707,7942.16869202475,7205.7474408044
"YIL114C",1508.63796123836,851.390495019926,759.284130311353,756.349072508632,805.078423990465,912.497960584299,945.033396337523,1017.83171689113,975.091103563979,992.466586419828,1002.2398138108,1087.6542554068,1117.99747766239,1116.73725575164,1149.9175552008
"YIL113W",184.297198083934,40.0449517085037,51.9621821023132,50.5667231975899,42.9647951811938,42.8906209440328,47.7947924584495,37.5429731640171,39.6199545466177,45.674397073971,38.0031453563946,37.7996434053934,36.7704730319659,48.1511917902864,50.8965759616257
"YIL112W",2172.58043125868,2288.65604438383,2663.85717226553,2844.64715179633,2788.61980152225,2892.97238267501,2601.55745313606,2511.20776052648,2737.0785265955,2850.84361736702,2921.77123416516,2884.96633216648,2777.04620136657,2700.17067808606,2681.12810319886
"YIL111W",2158.40372371376,1729.76780532167,1256.63644471921,797.232806157747,584.116620201469,431.05074048753,374.75462268557,390.029776759511,406.104534102831,428.197472568478,410.583001791635,487.737334263141,492.899436118971,697.266296501648,836.774214962321
"YIL110W",1623.23301389311,2922.41093229232,2885.49178572233,3127.60562415731,3421.83904478794,3512.74185531629,3324.99681171168,3168.20979089678,2921.97164781305,2839.42501809853,2970.95177521461,2905.69516887266,2567.80470006562,2346.44461531896,2149.73334400629
"YIL109C",16649.3616192108,13239.2092518027,13133.7066395337,13493.7838796632,13875.5829008979,13842.9479096866,12872.006605287,12633.2104696918,12773.0331241123,12804.0559797365,13277.2557639262,12876.2656245469,13155.0744709124,13226.7619910087,13181.3505202312
"YIL108W",12686.9718604062,4718.33996217587,4304.37749292427,3966.79805169178,3835.11945557847,3670.36488728561,3611.76556646237,3717.79720360336,3581.20366929705,3438.9014796944,3318.94136112513,3560.48254012093,3708.5648515097,3975.25127607115,3918.17369521532
"YIL107C",2889.68555457245,1412.01981893898,1369.04443049156,1243.72621311519,1104.80901894498,1044.3866199872,1051.48543408589,1099.17482541317,1169.88921341818,1112.361878739,949.333474196994,957.184518491415,1131.12978945952,1205.63176367217,1337.97609010986
"YIL106W",925.030167305899,531.901423780342,678.689725417969,1415.86824953252,2208.59506657613,2164.90409215006,1431.67128318719,869.745544966397,782.494102295699,1153.27852611777,1657.23520142395,1909.4916636402,1667.8035982356,1262.11681558001,1014.48090391308
"YIL105C",1935.12057988131,1365.88107023135,1657.4875637942,1698.8267218935,1662.32838498667,1782.10530022456,1762.9760945469,1739.49108993279,1881.94784096434,1989.69092253486,1888.2347124138,2063.12892393309,2025.87796657069,2138.09811238022,1933.20723271192
"YIL104C",888.407006148194,1992.67161871228,1919.41937969769,2063.55266155271,2105.2749638785,2126.30253330043,1954.15526438069,1737.40536920146,1702.5574912116,1845.05533180062,1830.85741452277,1675.37774319389,1673.93201040759,1434.34992467603,1326.7615903217
"YIL103W",824.611822196063,2272.11573824336,2520.69605831017,2589.66176035317,2566.63502641941,2479.0778905651,2256.13145309544,2124.30656486397,2138.37699122439,2463.56279217731,2399.41427544295,2264.32057431663,1916.44203492794,1556.57987306676,1540.6997401265
"YIL102C-A",295.348073852458,228.952658681228,297.987207566327,275.427258267724,250.627971890297,317.390594985843,245.491433991127,251.329348125781,274.038018947439,254.063833723964,259.315580078928,268.255533844728,270.525623020892,255.57171027152,280.362494703871
