Gene_ID,Gene_name,Fourier_score,P_value,FDR
YOR049C,RSB1,7.0822912974287,0.01323,0.183790322580645
YIL018W,RPL2B,6.60426597529696,0.01325,0.183790322580645
YNL094W,APP1,7.0445805602429,0.01336,0.184497536945813
YOR071C,NRT1,7.22320199304909,0.01337,0.184497536945813
YOR373W,NUD1,7.02795680042803,0.0134,0.184497536945813
YBR044C,TCM62,6.79097421384693,0.0135,0.18541769041769
YGR254W,ENO1,6.82876558937127,0.01357,0.185741075794621
YKL006W,RPL14A,7.21986938755825,0.01359,0.185741075794621
YBR291C,CTP1,6.87362068738295,0.01378,0.18723786407767
YOR083W,WHI5,6.90726622409323,0.01378,0.18723786407767
YMR019W,STB4,7.00266609861425,0.0138,0.18723786407767
YML026C,RPS18B,7.12200848765317,0.01394,0.188308915662651
YHR156C,LIN1,6.85995505722258,0.01398,0.188308915662651
YJL157C,FAR1,6.69520928916673,0.01398,0.188308915662651
YJR047C,ANB1,7.033977231201,0.01412,0.188995238095238
YDL097C,RPN6,6.83710904812518,0.01416,0.188995238095238
YGL002W,ERP6,6.89043275521553,0.01416,0.188995238095238
YGL016W,KAP122,7.09453456631468,0.01417,0.188995238095238
YNL154C,YCK2,6.57263026154347,0.0142,0.188995238095238
YDR514C,YDR514C,7.04532016820115,0.01428,0.189608551068884
YIL002C,INP51,7.13637588502734,0.01438,0.190483886255924
YDL175C,AIR2,6.89352969039486,0.01451,0.190980705882353
YLR005W,SSL1,6.68338967460841,0.01451,0.190980705882353
YFL045C,SEC53,6.37145524122217,0.01452,0.190980705882353
YHR060W,VMA22,7.04339036287683,0.01456,0.191057276995305
YMR120C,ADE17,6.99503820796204,0.0147,0.19244262295082
YOR151C,RPB2,7.02074813086524,0.01478,0.192602088167053
YGL018C,JAC1,7.0894017464655,0.01479,0.192602088167053
YDL165W,CDC36,6.69996047420733,0.01485,0.192602088167053
YPL087W,YDC1,6.55206285453187,0.01485,0.192602088167053
YPL071C,YPL071C,6.91607326150125,0.0149,0.192803240740741
